rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11811;59.6415377989;895;28.7036187022
2;9743;55.4600882429;886;28.5627254331
3;8442;53.0751304653;867;28.244485073
4;7192;50.0043950226;858;28.0926967162
5;6367;47.3807767853;848;27.9145671927
6;5549;45.535266909;838;27.7353047969
7;4922;43.4974773365;819;27.4081020836
8;4377;41.495052256;814;27.2541267454
9;3829;39.6350448484;770;26.5103904474
10;3329;37.5560189561;730;25.7633572688
11;2905;35.9453671384;677;24.8256860414
12;2595;34.5478224077;651;24.3554221256
13;2110;31.1806582769;596;23.0436110046
14;1908;29.958001744;541;22.0125713351
15;1634;28.1508916436;469;20.3668969955
16;1379;26.5504770878;443;19.8001196603
17;1151;24.780785577;395;18.6366882194
18;912;22.7169932612;305;16.390036238
19;778;21.2932202227;296;16.0358537475
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11811;58.0236697558;895;28.7036187022
2;9484;53.2142305163;861;28.1853248446
3;8184;51.0227926135;833;27.7152432354
4;6961;47.6603484077;824;27.576152065
5;5948;45.2131874567;807;27.1942641855
6;5080;42.9054698857;736;26.0895435969
7;4412;40.4011199102;733;25.9927646428
8;3858;38.73301741;728;25.8343205355
9;3402;37.2665270615;706;25.2716251334
10;2985;35.7675308724;677;24.7200446918
11;2691;34.4599376047;662;24.3855249258
12;2272;32.4663179431;549;22.4987924079
13;1943;30.657232633;465;20.6706307077
14;1698;29.4548926241;432;19.9594853114
15;1509;28.3301646576;390;19.0292290387
16;1345;27.2490947092;361;18.272272581
17;1238;26.4646948771;361;18.272272581
18;1150;25.7194472611;352;18.0488054945
19;1028;24.530410905;332;17.4897238917
20;945;23.7088810321;314;17.0052719642
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11798;57.2318185292;895;28.7036187022
2;10146;54.6329782524;877;28.4217936809
3;8556;51.5923273016;866;28.2149587633
4;7312;48.6847063611;856;28.0385890748
5;6660;47.2354315356;854;27.989240158
6;6022;45.4534459631;844;27.810498289
7;5275;43.6013893716;829;27.5181093888
8;4817;42.3607346522;816;27.2622138341
9;4162;39.6518799599;789;26.6227176055
10;3688;36.9496543749;493;19.9957415229
11;3206;35.0901525768;488;19.8258297193
12;2790;33.0811968863;480;19.6542350971
13;2441;31.5064069942;467;19.3479288723
14;2122;30.0530522785;456;19.1019232157
15;1839;28.3387858491;425;18.61691778
16;1567;26.8417171982;380;17.5591700717
17;1409;25.8919071323;379;17.5182471437
18;1224;24.4555700295;357;16.888360763
19;1103;23.6595942073;336;16.4116716633
20;955;22.2784693684;298;15.2777564638
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11796;59.3964858545;895;28.7036187022
2;9637;55.3035588855;885;28.5324852555
3;8128;51.9055181069;884;28.5031734517
4;6934;47.8751587015;874;28.3276200632
5;5930;45.6220470946;836;27.6808307067
6;5262;43.9976280224;818;27.3813109304
7;4583;42.1916899117;799;27.0471291165
8;3849;39.0270080126;750;26.1464891465
9;3374;37.4107508523;731;25.8004486012
10;2955;35.7018531017;722;25.4915950361
11;2551;34.0275169177;668;24.5071269529
12;2249;32.4939310293;600;23.1387626573
13;1943;30.8330982949;557;22.3244999555
14;1643;28.7765071176;463;20.1032033768
15;1379;26.70689594;431;19.3709425575
16;1213;25.3937179761;415;18.7864921183
17;1032;23.8948970438;375;17.9170004269
